============================================================================================================
Arguments =
	approach: icarl
	batch_size: 100
	clipping: 10000
	datasets: ['mnist']
	eval_on_train: False
	exp_name: None
	fix_bn: False
	gpu: 2
	gridsearch_tasks: -1
	keep_existing_head: False
	last_layer_analysis: False
	log: ['disk']
	lr: 0.05
	lr_factor: 1.0
	lr_min: 0.0001
	lr_patience: 5
	momentum: 0.9
	multi_softmax: False
	nc_first_task: 2
	nepochs: 100
	network: resnet18
	no_cudnn_deterministic: False
	num_tasks: 5
	num_workers: 4
	pin_memory: False
	pretrained: False
	results_path: ../mnist_icarl_result5t
	save_models: False
	seed: 0
	stop_at_task: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0002
============================================================================================================
Approach arguments =
	lamb: 1
============================================================================================================
Exemplars dataset arguments =
	exemplar_selection: random
	num_exemplars: 0
	num_exemplars_per_class: 500
============================================================================================================
WARNING: ../mnist_icarl_result5t/mnist_icarl already exists!
[(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  4.3s | Train: skip eval | Valid: time=  0.6s loss=0.016, TAw acc= 99.4% | *
| Epoch  22, time=  2.5s | Train: skip eval | Valid: time=  0.7s loss=0.013, TAw acc= 99.7% |
| Epoch  23, time=  2.5s | Train: skip eval | Valid: time=  0.8s loss=0.011, TAw acc= 99.7% |
| Epoch  24, time=  2.6s | Train: skip eval | Valid: time=  1.4s loss=0.007, TAw acc= 99.7% | lr=5.0e-02
| Epoch  25, time=  2.7s | Train: skip eval | Valid: time=  0.6s loss=0.010, TAw acc= 99.7% |
| Epoch  26, time=  2.8s | Train: skip eval | Valid: time=  0.6s loss=0.006, TAw acc= 99.8% |
| Epoch  27, time=  2.5s | Train: skip eval | Valid: time=  0.4s loss=0.011, TAw acc= 99.7% |
| Epoch  28, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.006, TAw acc= 99.6% | *
| Epoch  29, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.007, TAw acc= 99.7% |
| Epoch  30, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.006, TAw acc= 99.7% |
| Epoch  31, time=  2.7s | Train: skip eval | Valid: time=  0.6s loss=0.009, TAw acc= 99.8% |
| Epoch  32, time=  3.7s | Train: skip eval | Valid: time=  0.5s loss=0.010, TAw acc= 99.6% |
| Epoch  33, time=  2.5s | Train: skip eval | Valid: time=  0.5s loss=0.006, TAw acc= 99.7% | lr=5.0e-02
| Epoch  34, time=  2.5s | Train: skip eval | Valid: time=  0.5s loss=0.026, TAw acc= 99.2% |
| Epoch  35, time=  2.4s | Train: skip eval | Valid: time=  1.0s loss=0.010, TAw acc= 99.7% |
| Epoch  36, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.005, TAw acc= 99.7% | *
| Epoch  37, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.010, TAw acc= 99.6% |
| Epoch  38, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.010, TAw acc= 99.7% |
| Epoch  39, time=  2.8s | Train: skip eval | Valid: time=  0.5s loss=0.009, TAw acc= 99.7% |
| Epoch  40, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.011, TAw acc= 99.7% |
| Epoch  41, time=  2.5s | Train: skip eval | Valid: time=  0.7s loss=0.010, TAw acc= 99.6% | lr=5.0e-02
| Epoch  42, time=  2.6s | Train: skip eval | Valid: time=  1.9s loss=0.007, TAw acc= 99.7% |
| Epoch  43, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.005, TAw acc= 99.8% | *
| Epoch  44, time=  2.6s | Train: skip eval | Valid: time=  0.4s loss=0.019, TAw acc= 99.4% |
| Epoch  45, time=  2.7s | Train: skip eval | Valid: time=  0.5s loss=0.005, TAw acc= 99.7% | *
| Epoch  46, time=  2.4s | Train: skip eval | Valid: time=  0.9s loss=0.009, TAw acc= 99.6% |
| Epoch  47, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=0.009, TAw acc= 99.6% |
| Epoch  48, time=  2.6s | Train: skip eval | Valid: time=  0.7s loss=0.006, TAw acc= 99.7% |
| Epoch  49, time=  2.5s | Train: skip eval | Valid: time=  0.7s loss=0.007, TAw acc= 99.7% |
| Epoch  50, time=  3.6s | Train: skip eval | Valid: time=  0.5s loss=0.015, TAw acc= 99.6% | lr=5.0e-02
| Epoch  51, time=  2.6s | Train: skip eval | Valid: time=  0.6s loss=0.020, TAw acc= 99.4% |
| Epoch  52, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.004, TAw acc= 99.9% | *
| Epoch  53, time=  2.3s | Train: skip eval | Valid: time=  1.0s loss=0.014, TAw acc= 99.4% |
| Epoch  54, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=0.022, TAw acc= 99.5% |
| Epoch  55, time=  2.7s | Train: skip eval | Valid: time=  0.5s loss=0.010, TAw acc= 99.5% |
| Epoch  56, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.009, TAw acc= 99.7% |
| Epoch  57, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.008, TAw acc= 99.7% | lr=5.0e-02
| Epoch  58, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.012, TAw acc= 99.6% |
| Epoch  59, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.010, TAw acc= 99.5% |
| Epoch  60, time=  2.7s | Train: skip eval | Valid: time=  0.5s loss=0.010, TAw acc= 99.7% |
| Epoch  61, time=  2.4s | Train: skip eval | Valid: time=  0.9s loss=0.005, TAw acc= 99.8% |
| Epoch  62, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.008, TAw acc= 99.7% | lr=5.0e-02
| Epoch  63, time=  2.3s | Train: skip eval | Valid: time=  0.9s loss=0.009, TAw acc= 99.5% |
| Epoch  64, time=  2.3s | Train: skip eval | Valid: time=  1.6s loss=0.015, TAw acc= 99.6% |
| Epoch  65, time=  2.5s | Train: skip eval | Valid: time=  0.5s loss=0.013, TAw acc= 99.6% |
| Epoch  66, time=  2.8s | Train: skip eval | Valid: time=  0.6s loss=0.011, TAw acc= 99.7% |
| Epoch  67, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.012, TAw acc= 99.6% | lr=5.0e-02
| Epoch  68, time=  2.5s | Train: skip eval | Valid: time=  0.5s loss=0.005, TAw acc= 99.8% |
| Epoch  69, time=  2.5s | Train: skip eval | Valid: time=  0.7s loss=0.005, TAw acc= 99.8% |
| Epoch  70, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.006, TAw acc= 99.7% |
| Epoch  71, time=  2.7s | Train: skip eval | Valid: time=  1.6s loss=0.009, TAw acc= 99.7% |
| Epoch  72, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.006, TAw acc= 99.7% | lr=5.0e-02
| Epoch  73, time=  2.6s | Train: skip eval | Valid: time=  0.6s loss=0.025, TAw acc= 99.3% |
| Epoch  74, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.010, TAw acc= 99.5% |
| Epoch  75, time=  2.8s | Train: skip eval | Valid: time=  0.6s loss=0.010, TAw acc= 99.7% |
| Epoch  76, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.011, TAw acc= 99.7% |
| Epoch  77, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=0.014, TAw acc= 99.6% | lr=5.0e-02
| Epoch  78, time=  2.5s | Train: skip eval | Valid: time=  0.5s loss=0.011, TAw acc= 99.5% |
| Epoch  79, time=  3.9s | Train: skip eval | Valid: time=  0.5s loss=0.011, TAw acc= 99.5% |
| Epoch  80, time=  2.5s | Train: skip eval | Valid: time=  0.7s loss=0.009, TAw acc= 99.6% |
| Epoch  81, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.010, TAw acc= 99.5% |
| Epoch  82, time=  2.4s | Train: skip eval | Valid: time=  0.8s loss=0.009, TAw acc= 99.5% | lr=5.0e-02
| Epoch  83, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.013, TAw acc= 99.5% |
| Epoch  84, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.014, TAw acc= 99.6% |
| Epoch  85, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.042, TAw acc= 98.9% |
| Epoch  86, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=0.010, TAw acc= 99.7% |
| Epoch  87, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.007, TAw acc= 99.7% | lr=5.0e-02
| Epoch  88, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.006, TAw acc= 99.8% |
| Epoch  89, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.016, TAw acc= 99.4% |
| Epoch  90, time=  2.5s | Train: skip eval | Valid: time=  0.7s loss=0.013, TAw acc= 99.6% |
| Epoch  91, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.010, TAw acc= 99.7% |
| Epoch  92, time=  2.5s | Train: skip eval | Valid: time=  0.7s loss=0.014, TAw acc= 99.5% | lr=5.0e-02
| Epoch  93, time=  2.5s | Train: skip eval | Valid: time=  0.7s loss=0.012, TAw acc= 99.6% |
| Epoch  94, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=0.009, TAw acc= 99.7% |
| Epoch  95, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.017, TAw acc= 99.4% |
| Epoch  96, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.024, TAw acc= 99.3% |
| Epoch  97, time=  2.7s | Train: skip eval | Valid: time=  0.9s loss=0.006, TAw acc= 99.7% | lr=5.0e-02
| Epoch  98, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.007, TAw acc= 99.7% |
| Epoch  99, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.013, TAw acc= 99.5% |
| Epoch 100, time=  2.7s | Train: skip eval | Valid: time=  0.5s loss=0.008, TAw acc= 99.7% |
| Selected 1000 train exemplars, time=  0.0s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.003 | TAw acc= 99.9%, forg=  0.0%| TAg acc= 99.9%, forg=  0.0% <<<
Save at ../mnist_icarl_result5t/mnist_icarl
************************************************************************************************************
Task  1
************************************************************************************************************
| Epoch   1, time=  3.1s | Train: skip eval | Valid: time=  0.7s loss=0.523, TAw acc= 96.4% | *
| Epoch   2, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.407, TAw acc= 99.5% | *
| Epoch   3, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.437, TAw acc= 98.4% |
| Epoch   4, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.423, TAw acc= 99.7% |
| Epoch   5, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.385, TAw acc= 99.7% | *
| Epoch   6, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=0.396, TAw acc= 99.7% |
| Epoch   7, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.378, TAw acc= 99.7% | *
| Epoch   8, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.377, TAw acc= 99.4% | *
| Epoch   9, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=0.373, TAw acc= 99.2% | *
| Epoch  10, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=0.363, TAw acc= 99.5% | *
| Epoch  11, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=0.412, TAw acc= 98.7% |
| Epoch  12, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.443, TAw acc= 99.5% |
| Epoch  13, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.358, TAw acc= 99.7% | *
| Epoch  14, time=  3.0s | Train: skip eval | Valid: time=  0.7s loss=0.927, TAw acc= 90.1% |
| Epoch  15, time=  3.0s | Train: skip eval | Valid: time=  0.8s loss=0.359, TAw acc= 99.7% |
| Epoch  16, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.380, TAw acc= 99.4% |
| Epoch  17, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=0.392, TAw acc= 99.5% |
| Epoch  18, time=  3.1s | Train: skip eval | Valid: time=  1.1s loss=0.350, TAw acc= 99.7% | *
| Epoch  19, time=  3.1s | Train: skip eval | Valid: time=  0.8s loss=0.366, TAw acc= 99.0% |
| Epoch  20, time=  3.3s | Train: skip eval | Valid: time=  1.1s loss=0.357, TAw acc= 99.7% |
| Epoch  21, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.372, TAw acc= 99.4% |
| Epoch  22, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.371, TAw acc= 99.5% |
| Epoch  23, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.392, TAw acc= 98.4% | lr=5.0e-02
| Epoch  24, time=  3.1s | Train: skip eval | Valid: time=  0.7s loss=0.391, TAw acc= 98.6% |
| Epoch  25, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.360, TAw acc= 99.3% |
| Epoch  26, time=  3.2s | Train: skip eval | Valid: time=  0.8s loss=0.362, TAw acc= 99.3% |
| Epoch  27, time=  3.0s | Train: skip eval | Valid: time=  0.7s loss=0.354, TAw acc= 99.5% |
| Epoch  28, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=0.352, TAw acc= 99.6% | lr=5.0e-02
| Epoch  29, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.371, TAw acc= 99.6% |
| Epoch  30, time=  3.2s | Train: skip eval | Valid: time=  0.8s loss=0.388, TAw acc= 99.7% |
| Epoch  31, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=0.355, TAw acc= 99.4% |
| Epoch  32, time=  3.1s | Train: skip eval | Valid: time=  0.5s loss=0.352, TAw acc= 99.7% |
| Epoch  33, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=0.381, TAw acc= 99.4% | lr=5.0e-02
| Epoch  34, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.359, TAw acc= 99.6% |
| Epoch  35, time=  3.2s | Train: skip eval | Valid: time=  0.5s loss=0.377, TAw acc= 98.7% |
| Epoch  36, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.428, TAw acc= 99.7% |
| Epoch  37, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=0.352, TAw acc= 99.6% |
| Epoch  38, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=0.363, TAw acc= 99.7% | lr=5.0e-02
| Epoch  39, time=  3.2s | Train: skip eval | Valid: time=  0.8s loss=0.353, TAw acc= 99.8% |
| Epoch  40, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.372, TAw acc= 98.9% |
| Epoch  41, time=  3.1s | Train: skip eval | Valid: time=  0.7s loss=0.351, TAw acc= 99.7% |
| Epoch  42, time=  3.3s | Train: skip eval | Valid: time=  0.8s loss=0.357, TAw acc= 99.7% |
| Epoch  43, time=  3.1s | Train: skip eval | Valid: time=  0.7s loss=0.376, TAw acc= 99.3% | lr=5.0e-02
| Epoch  44, time=  3.0s | Train: skip eval | Valid: time=  0.9s loss=0.351, TAw acc= 99.7% |
| Epoch  45, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=0.355, TAw acc= 99.5% |
| Epoch  46, time=  3.3s | Train: skip eval | Valid: time=  0.5s loss=0.386, TAw acc= 98.8% |
| Epoch  47, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.381, TAw acc= 99.6% |
| Epoch  48, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=0.358, TAw acc= 99.4% | lr=5.0e-02
| Epoch  49, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.349, TAw acc= 99.5% | *
| Epoch  50, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.447, TAw acc= 97.4% |
| Epoch  51, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=0.378, TAw acc= 99.1% |
| Epoch  52, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=0.343, TAw acc= 99.7% | *
| Epoch  53, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=0.345, TAw acc= 99.6% |
| Epoch  54, time=  3.1s | Train: skip eval | Valid: time=  0.8s loss=0.349, TAw acc= 99.7% |
| Epoch  55, time=  3.5s | Train: skip eval | Valid: time=  0.7s loss=0.395, TAw acc= 99.6% |
| Epoch  56, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.356, TAw acc= 99.4% |
| Epoch  57, time=  3.4s | Train: skip eval | Valid: time=  0.7s loss=0.393, TAw acc= 99.5% | lr=5.0e-02
| Epoch  58, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.372, TAw acc= 99.1% |
| Epoch  59, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=0.354, TAw acc= 99.4% |
| Epoch  60, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.352, TAw acc= 99.7% |
| Epoch  61, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.351, TAw acc= 99.5% |
| Epoch  62, time=  3.0s | Train: skip eval | Valid: time=  0.9s loss=0.349, TAw acc= 99.7% | lr=5.0e-02
| Epoch  63, time=  3.1s | Train: skip eval | Valid: time=  0.8s loss=0.363, TAw acc= 99.7% |
| Epoch  64, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=0.351, TAw acc= 99.5% |
| Epoch  65, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.356, TAw acc= 99.7% |
| Epoch  66, time=  3.2s | Train: skip eval | Valid: time=  0.8s loss=0.358, TAw acc= 99.4% |
| Epoch  67, time=  3.1s | Train: skip eval | Valid: time=  0.8s loss=0.356, TAw acc= 99.7% | lr=5.0e-02
| Epoch  68, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.369, TAw acc= 99.3% |
| Epoch  69, time=  3.4s | Train: skip eval | Valid: time=  0.8s loss=0.357, TAw acc= 99.5% |
| Epoch  70, time=  3.1s | Train: skip eval | Valid: time=  0.8s loss=0.347, TAw acc= 99.8% |
| Epoch  71, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.368, TAw acc= 99.2% |
| Epoch  72, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=0.360, TAw acc= 99.4% | lr=5.0e-02
| Epoch  73, time=  3.1s | Train: skip eval | Valid: time=  0.7s loss=0.354, TAw acc= 99.3% |
| Epoch  74, time=  3.0s | Train: skip eval | Valid: time=  0.6s loss=0.418, TAw acc= 99.6% |
| Epoch  75, time=  3.1s | Train: skip eval | Valid: time=  0.7s loss=0.369, TAw acc= 99.7% |
| Epoch  76, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.348, TAw acc= 99.6% |
| Epoch  77, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=0.389, TAw acc= 98.9% | lr=5.0e-02
| Epoch  78, time=  3.3s | Train: skip eval | Valid: time=  0.8s loss=0.436, TAw acc= 97.7% |
| Epoch  79, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=0.391, TAw acc= 99.6% |
| Epoch  80, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=0.352, TAw acc= 99.5% |
| Epoch  81, time=  3.3s | Train: skip eval | Valid: time=  0.5s loss=0.350, TAw acc= 99.7% |
| Epoch  82, time=  3.5s | Train: skip eval | Valid: time=  0.6s loss=0.349, TAw acc= 99.7% | lr=5.0e-02
| Epoch  83, time=  3.5s | Train: skip eval | Valid: time=  0.7s loss=0.393, TAw acc= 99.6% |
| Epoch  84, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.356, TAw acc= 99.6% |
| Epoch  85, time=  3.2s | Train: skip eval | Valid: time=  0.9s loss=0.368, TAw acc= 99.7% |
| Epoch  86, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.361, TAw acc= 99.5% |
| Epoch  87, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.355, TAw acc= 99.6% | lr=5.0e-02
| Epoch  88, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.396, TAw acc= 99.2% |
| Epoch  89, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.379, TAw acc= 99.5% |
| Epoch  90, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.372, TAw acc= 99.7% |
| Epoch  91, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=0.345, TAw acc= 99.7% |
| Epoch  92, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=0.375, TAw acc= 99.7% | lr=5.0e-02
| Epoch  93, time=  3.0s | Train: skip eval | Valid: time=  0.7s loss=0.377, TAw acc= 99.6% |
| Epoch  94, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.404, TAw acc= 99.2% |
| Epoch  95, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=0.397, TAw acc= 98.2% |
| Epoch  96, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.352, TAw acc= 99.7% |
| Epoch  97, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=0.363, TAw acc= 99.4% | lr=5.0e-02
| Epoch  98, time=  3.2s | Train: skip eval | Valid: time=  0.6s loss=0.356, TAw acc= 99.7% |
| Epoch  99, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.350, TAw acc= 99.6% |
| Epoch 100, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=0.351, TAw acc= 99.6% |
| Selected 2000 train exemplars, time=  0.1s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.047 | TAw acc= 99.8%, forg=  0.1%| TAg acc= 99.4%, forg=  0.5% <<<
>>> Test on task  1 : loss=0.414 | TAw acc= 99.4%, forg=  0.0%| TAg acc= 99.2%, forg=  0.0% <<<
Save at ../mnist_icarl_result5t/mnist_icarl
************************************************************************************************************
Task  2
************************************************************************************************************
| Epoch   1, time=  3.8s | Train: skip eval | Valid: time=  1.4s loss=1.195, TAw acc= 99.8% | *
| Epoch   2, time=  3.8s | Train: skip eval | Valid: time=  0.8s loss=1.071, TAw acc= 99.9% | *
| Epoch   3, time=  3.7s | Train: skip eval | Valid: time=  0.6s loss=1.080, TAw acc= 99.9% |
| Epoch   4, time=  3.7s | Train: skip eval | Valid: time=  0.6s loss=1.071, TAw acc=100.0% |
| Epoch   5, time=  3.7s | Train: skip eval | Valid: time=  0.6s loss=1.065, TAw acc= 99.9% | *
| Epoch   6, time=  4.0s | Train: skip eval | Valid: time=  2.0s loss=1.030, TAw acc= 99.9% | *
| Epoch   7, time=  3.9s | Train: skip eval | Valid: time=  0.8s loss=1.042, TAw acc=100.0% |
| Epoch   8, time=  3.7s | Train: skip eval | Valid: time=  0.6s loss=1.016, TAw acc=100.0% | *
| Epoch   9, time=  3.6s | Train: skip eval | Valid: time=  0.7s loss=1.005, TAw acc= 99.9% | *
| Epoch  10, time=  3.7s | Train: skip eval | Valid: time=  0.7s loss=1.016, TAw acc= 99.9% |
| Epoch  11, time=  3.8s | Train: skip eval | Valid: time=  1.1s loss=1.032, TAw acc=100.0% |
| Epoch  12, time=  4.1s | Train: skip eval | Valid: time=  0.7s loss=1.039, TAw acc= 99.9% |
| Epoch  13, time=  3.7s | Train: skip eval | Valid: time=  0.8s loss=1.128, TAw acc= 99.8% |
| Epoch  14, time=  3.7s | Train: skip eval | Valid: time=  0.8s loss=1.006, TAw acc= 99.9% | lr=5.0e-02
| Epoch  15, time=  3.7s | Train: skip eval | Valid: time=  0.8s loss=1.035, TAw acc= 99.9% |
| Epoch  16, time=  3.9s | Train: skip eval | Valid: time=  1.1s loss=1.032, TAw acc= 99.9% |
| Epoch  17, time=  4.0s | Train: skip eval | Valid: time=  0.7s loss=1.017, TAw acc= 99.9% |
| Epoch  18, time=  3.7s | Train: skip eval | Valid: time=  0.7s loss=1.024, TAw acc= 99.9% |
| Epoch  19, time=  3.9s | Train: skip eval | Valid: time=  0.7s loss=1.010, TAw acc= 99.9% | lr=5.0e-02
| Epoch  20, time=  3.7s | Train: skip eval | Valid: time=  0.9s loss=1.019, TAw acc= 99.9% |
